name,smiles,xyz_file
anti_NMe_NPh_diOMe_diCF3,C1=C2C=C(C(C(F)(F)(F))=C4(C(F)(F)(F)))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(OC)=C5(OC))=C(N5C)C=C13,structures/anti_NMe_NPh_diOMe_diCF3.xyz
anti_NMe_NPh_m-CNbenz_diOMe,C1=C2C=C(C(OC)=C4(OC))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C=C7)=C5(C=C7(C#N)))=C(N5C)C=C13,structures/anti_NMe_NPh_m-CNbenz_diOMe.xyz
anti_NMe_NPh_m-OMebenz_diOMe,C1=C2C=C(C(OC)=C4(OC))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C=C7)=C5(C=C7(OC)))=C(N5C)C=C13,structures/anti_NMe_NPh_m-OMebenz_diOMe.xyz
anti_NMe_NPh_p-CNbenz_2-Cl,C1=C2C=C(C=C4(Cl))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C=C7(C#N))=C5(C=C7))=C(N5C)C=C13,structures/anti_NMe_NPh_p-CNbenz_2-Cl.xyz
anti_NMe_NPh_p-CNbenz_2-OMe,C1=C2C=C(C=C4(OC))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C=C7(C#N))=C5(C=C7))=C(N5C)C=C13,structures/anti_NMe_NPh_p-CNbenz_2-OMe.xyz
anti_NMe_NPh_p-OMebenz_p-OMebenz,C1=C2C=C(C(C=C6(OC))=C4(C=C6))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C=C7(OC))=C5(C=C7))=C(N5C)C=C13,structures/anti_NMe_NPh_p-OMebenz_p-OMebenz.xyz
anti_NMe_NPh_tetClbenz_2-F,C1=C2C=C(C=C4(F))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C(Cl)=C7(Cl))=C5(C(Cl)=C7(Cl)))=C(N5C)C=C13,structures/anti_NMe_NPh_tetClbenz_2-F.xyz
anti_NPh_NPh_2-CF3_diCN,C1=C2C=C(C(C#N)=C4(C#N))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C=C5(C(F)(F)(F)))=C(N5(C8=CC=CC=C8))C=C13,structures/anti_NPh_NPh_2-CF3_diCN.xyz
anti_NPh_NPh_2-F_2-CF3,C1=C2C=C(C=C4(C(F)(F)(F)))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C=C5(F))=C(N5(C8=CC=CC=C8))C=C13,structures/anti_NPh_NPh_2-F_2-CF3.xyz
anti_NPh_NPh_2-F_3-Cl,C1=C2C=C(C(Cl)=C4)C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C=C5(F))=C(N5(C8=CC=CC=C8))C=C13,structures/anti_NPh_NPh_2-F_3-Cl.xyz
anti_NPh_NPh_2-OMe_tetFbenz,C1=C2C=C(C(C(F)=C6(F))=C4(C(F)=C6(F)))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C=C5(OC))=C(N5(C8=CC=CC=C8))C=C13,structures/anti_NPh_NPh_2-OMe_tetFbenz.xyz
anti_NPh_NPh_C_diCN,C1=C2C=C(C(C#N)=C4(C#N))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C=C5)=C(N5(C8=CC=CC=C8))C=C13,structures/anti_NPh_NPh_C_diCN.xyz
anti_O_NMe_2-CN_m-CNbenz,C1=C2C=C(C(C=C6)=C4(C=C6(C#N)))C(N4C)=CC2=CC3=CC(C=C5(C#N))=C(O5)C=C13,structures/anti_O_NMe_2-CN_m-CNbenz.xyz
anti_O_NMe_2-OMe_2-OMe,C1=C2C=C(C=C4(OC))C(N4C)=CC2=CC3=CC(C=C5(OC))=C(O5)C=C13,structures/anti_O_NMe_2-OMe_2-OMe.xyz
anti_O_NMe_2-OMe_diCF3,C1=C2C=C(C(C(F)(F)(F))=C4(C(F)(F)(F)))C(N4C)=CC2=CC3=CC(C=C5(OC))=C(O5)C=C13,structures/anti_O_NMe_2-OMe_diCF3.xyz
anti_O_NMe_C_benz,C1=C2C=C(C(C=C6)=C4(C=C6))C(N4C)=CC2=CC3=CC(C=C5)=C(O5)C=C13,structures/anti_O_NMe_C_benz.xyz
anti_O_NMe_diF_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(N4C)=CC2=CC3=CC(C(F)=C5(F))=C(O5)C=C13,structures/anti_O_NMe_diF_diCl.xyz
anti_O_NMe_m-CF3benz_3-OMe,C1=C2C=C(C(OC)=C4)C(N4C)=CC2=CC3=CC(C(C=C7)=C5(C=C7(C(F)(F)(F))))=C(O5)C=C13,structures/anti_O_NMe_m-CF3benz_3-OMe.xyz
anti_O_NMe_m-CNbenz_m-CF3benz,C1=C2C=C(C(C=C6)=C4(C=C6(C(F)(F)(F))))C(N4C)=CC2=CC3=CC(C(C=C7)=C5(C=C7(C#N)))=C(O5)C=C13,structures/anti_O_NMe_m-CNbenz_m-CF3benz.xyz
anti_O_NPh_3-CF3_m-CNbenz,C1=C2C=C(C(C=C6)=C4(C=C6(C#N)))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C(F)(F)(F))=C5)=C(O5)C=C13,structures/anti_O_NPh_3-CF3_m-CNbenz.xyz
anti_O_NPh_3-Cl_2-OMe,C1=C2C=C(C=C4(OC))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(Cl)=C5)=C(O5)C=C13,structures/anti_O_NPh_3-Cl_2-OMe.xyz
anti_O_NPh_3-CN_p-CNbenz,C1=C2C=C(C(C=C6(C#N))=C4(C=C6))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C#N)=C5)=C(O5)C=C13,structures/anti_O_NPh_3-CN_p-CNbenz.xyz
anti_O_NPh_diCN_3-CN,C1=C2C=C(C(C#N)=C4)C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C#N)=C5(C#N))=C(O5)C=C13,structures/anti_O_NPh_diCN_3-CN.xyz
anti_O_NPh_diF_m-OMebenz,C1=C2C=C(C(C=C6)=C4(C=C6(OC)))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(F)=C5(F))=C(O5)C=C13,structures/anti_O_NPh_diF_m-OMebenz.xyz
anti_O_NPh_diOMe_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(OC)=C5(OC))=C(O5)C=C13,structures/anti_O_NPh_diOMe_diCl.xyz
anti_O_NPh_diOMe_p-CNbenz,C1=C2C=C(C(C=C6(C#N))=C4(C=C6))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(OC)=C5(OC))=C(O5)C=C13,structures/anti_O_NPh_diOMe_p-CNbenz.xyz
anti_O_NPh_diOMe_tetFbenz,C1=C2C=C(C(C(F)=C6(F))=C4(C(F)=C6(F)))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(OC)=C5(OC))=C(O5)C=C13,structures/anti_O_NPh_diOMe_tetFbenz.xyz
anti_O_NPh_m-OMebenz_2-Cl,C1=C2C=C(C=C4(Cl))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C=C7)=C5(C=C7(OC)))=C(O5)C=C13,structures/anti_O_NPh_m-OMebenz_2-Cl.xyz
anti_O_NPh_tetFbenz_2-CF3,C1=C2C=C(C=C4(C(F)(F)(F)))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C(F)=C7(F))=C5(C(F)=C7(F)))=C(O5)C=C13,structures/anti_O_NPh_tetFbenz_2-CF3.xyz
anti_O_NPh_tetFbenz_benz,C1=C2C=C(C(C=C6)=C4(C=C6))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(C(F)=C7(F))=C5(C(F)=C7(F)))=C(O5)C=C13,structures/anti_O_NPh_tetFbenz_benz.xyz
anti_O_O_2-CF3_diF,C1=C2C=C(C(F)=C4(F))C(O4)=CC2=CC3=CC(C=C5(C(F)(F)(F)))=C(O5)C=C13,structures/anti_O_O_2-CF3_diF.xyz
anti_O_O_2-CF3_p-CF3benz,C1=C2C=C(C(C=C6(C(F)(F)(F)))=C4(C=C6))C(O4)=CC2=CC3=CC(C=C5(C(F)(F)(F)))=C(O5)C=C13,structures/anti_O_O_2-CF3_p-CF3benz.xyz
anti_O_O_2-Cl_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(O4)=CC2=CC3=CC(C=C5(Cl))=C(O5)C=C13,structures/anti_O_O_2-Cl_diCl.xyz
anti_O_O_2-Cl_m-OMebenz,C1=C2C=C(C(C=C6)=C4(C=C6(OC)))C(O4)=CC2=CC3=CC(C=C5(Cl))=C(O5)C=C13,structures/anti_O_O_2-Cl_m-OMebenz.xyz
anti_S_NMe_2-Cl_m-CF3benz,C1=C2C=C(C(C=C6)=C4(C=C6(C(F)(F)(F))))C(N4C)=CC2=CC3=CC(C=C5(Cl))=C(S5)C=C13,structures/anti_S_NMe_2-Cl_m-CF3benz.xyz
anti_S_NMe_3-CF3_3-CN,C1=C2C=C(C(C#N)=C4)C(N4C)=CC2=CC3=CC(C(C(F)(F)(F))=C5)=C(S5)C=C13,structures/anti_S_NMe_3-CF3_3-CN.xyz
anti_S_NMe_3-CN_p-CNbenz,C1=C2C=C(C(C=C6(C#N))=C4(C=C6))C(N4C)=CC2=CC3=CC(C(C#N)=C5)=C(S5)C=C13,structures/anti_S_NMe_3-CN_p-CNbenz.xyz
anti_S_NMe_benz_3-F,C1=C2C=C(C(F)=C4)C(N4C)=CC2=CC3=CC(C(C=C7)=C5(C=C7))=C(S5)C=C13,structures/anti_S_NMe_benz_3-F.xyz
anti_S_NMe_benz_p-CNbenz,C1=C2C=C(C(C=C6(C#N))=C4(C=C6))C(N4C)=CC2=CC3=CC(C(C=C7)=C5(C=C7))=C(S5)C=C13,structures/anti_S_NMe_benz_p-CNbenz.xyz
anti_S_NMe_C_2-F,C1=C2C=C(C=C4(F))C(N4C)=CC2=CC3=CC(C=C5)=C(S5)C=C13,structures/anti_S_NMe_C_2-F.xyz
anti_S_NMe_diCF3_2-F,C1=C2C=C(C=C4(F))C(N4C)=CC2=CC3=CC(C(C(F)(F)(F))=C5(C(F)(F)(F)))=C(S5)C=C13,structures/anti_S_NMe_diCF3_2-F.xyz
anti_S_NMe_p-OMebenz_2-CN,C1=C2C=C(C=C4(C#N))C(N4C)=CC2=CC3=CC(C(C=C7(OC))=C5(C=C7))=C(S5)C=C13,structures/anti_S_NMe_p-OMebenz_2-CN.xyz
anti_S_NMe_tetFbenz_tetClbenz,C1=C2C=C(C(C(Cl)=C6(Cl))=C4(C(Cl)=C6(Cl)))C(N4C)=CC2=CC3=CC(C(C(F)=C7(F))=C5(C(F)=C7(F)))=C(S5)C=C13,structures/anti_S_NMe_tetFbenz_tetClbenz.xyz
anti_S_NPh_2-CN_2-CN,C1=C2C=C(C=C4(C#N))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C=C5(C#N))=C(S5)C=C13,structures/anti_S_NPh_2-CN_2-CN.xyz
anti_S_NPh_3-Cl_p-OMebenz,C1=C2C=C(C(C=C6(OC))=C4(C=C6))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(Cl)=C5)=C(S5)C=C13,structures/anti_S_NPh_3-Cl_p-OMebenz.xyz
anti_S_NPh_3-F_tetClbenz,C1=C2C=C(C(C(Cl)=C6(Cl))=C4(C(Cl)=C6(Cl)))C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(F)=C5)=C(S5)C=C13,structures/anti_S_NPh_3-F_tetClbenz.xyz
